category,value,question,answer
FILMS OF THE '90s,300,A call-in radio show brings Tom Hanks & Meg Ryan together in this romantic comedy,Sleepless in Seattle
MUSEUMS,300,There's a London museum devoted to these objects formerly fluttered by flirtatious females,fans
BUSINESS & INDUSTRY,300,"Before moving to Chicago in 1856, this department store owner clerked in a Pittsfield, Mass. dry goods store",Marshall Field
1853,300,"2 of his best-known works debuted, ""Il Trovatore"" & ""La Traviata""",Giuseppe Verdi
"STARTS WITH ""A""",300,Words that have opposite meanings are called these,antonyms
ANIMALS,400,"The Patagonian cavy, which resembles a hare, belongs to this order of mammals",rodents
FILMS OF THE '90s,400,"He played Elijah Wood's cruel & creepy cousin in 1993's ""The Good Son""",Macaulay Culkin
MUSEUMS,400,"Once a center for blockade runners, this British colony in the Atlantic has a Confederate museum",Bermuda
BUSINESS & INDUSTRY,400,This stagecoach company owned the Pony Express during the last few months of its existence,Wells Fargo
1853,400,On December 30 this American diplomat signed a treaty ceding Mexican land south of the Gila River to the U.S.,(James) Gadsden
"STARTS WITH ""A""",400,"On a typewriter keyboard, this symbol usually appears above the number 8",asterisk
ANIMALS,500,"Found in Africa, the colobus type of this mammal often has distinctive black & white fur",monkey
FILMS OF THE '90s,500,This 1994 Oliver Stone film featured Woody Harrelson & Juliette Lewis as murderers on the run,Natural Born Killers
MUSEUMS,500,A statue of King Olav V on skis stands near the Holmenkollen Ski Museum in this capital,Oslo
BUSINESS & INDUSTRY,500,In 1962 he founded Electronic Data Systems after working for IBM for 5 years,Ross Perot
1853,1400,"Born on July 5, 1853 in Hertfordshire, he later founded the De Beers mining company",Cecil Rhodes
"STARTS WITH ""A""",500,"From the Latin word for ""tree"", it's a place where many kinds of trees & plants are exhibited",arboretum
GENERALS,200,"Horemheb, general to this boy pharaoh, fought the Hittites in Syria",Tutankhamun
SONG STANDARDS,200,"""Some Day My Prince Will Come"" is from this 1937 film",Snow White and the Seven Dwarfs
LAKES & RIVERS,200,"At about 2/3 of a square mile, Upper Lake is the smallest of this country's lakes of Killarney",Ireland
SWEETS,200,"In names of thin, crisp cookies, this word follows brandy & ginger",snap
AMERICAN LITERATURE,200,"He first wrote about a woman doomed to wear the letter in his 1838 story ""Endicott and the Red Cross""",(Nathaniel) Hawthorne
"ENDS WITH ""Z""",200,Variations of this dance include the Boston & Viennese,waltz
GENERALS,400,This Israeli lost his left eye fighting with Allied forces in Lebanon during WWII,Moshe Dayan
SONG STANDARDS,400,"""Nothing could be finer than to be"" here ""in the morning""",in Carolina
LAKES & RIVERS,400,"Explorer Jacques Cartier called it the ""River of Canada""",the St. Lawrence
SWEETS,400,Yogurt Gone Crazy is a low-fat treat from this company famed for its 31 flavors,Baskin-Robbins
AMERICAN LITERATURE,400,"Henry March in his novel ""The Deerslayer"" is nicknamed Hurry Harry because he's always on the move",James Fenimore Cooper
"ENDS WITH ""Z""",400,"Often printed with flowers, this glazed fabric has been used to make drapes & slipcovers as well as dresses",chintz
GENERALS,600,"In the early days of WWI, General Erich Ludendorff captured the fortress city of Liege in this country",Belgium
SONG STANDARDS,600,"""Pick yourself up, dust yourself off,"" do this",start all over again
LAKES & RIVERS,600,Cities on this Swiss lake include Montreux & Lausanne,Lake Geneva
SWEETS,600,This crystalized candy that looks like chunks of quartz may be used to sweeten coffee,rock candy
AMERICAN LITERATURE,600,"The storytelling characters in his book ""Tales of a Wayside Inn"" are based on real people",(Henry Wadsworth) Longfellow
"ENDS WITH ""Z""",600,"Begun in 1967, it was the USSR's third man-in-space program",Soyuz
GENERALS,1500,"Tomas Estrada Palma, a leader in this Caribbean island's indep. movement, became its first president in 1902",Cuba
SONG STANDARDS,800,"This Cole Porter tune's second line is ""I've got you deep in the heart of me""","""I've Got You Under My Skin"""
LAKES & RIVERS,800,This lake in the Andes is divided into 2 bodies of water connected by the Tiquina Strait,Lake Titicaca
SWEETS,800,Nesselrode pudding contains a puree of these nuts that the French call marrons,chestnuts
AMERICAN LITERATURE,800,"This ""Sophie's Choice"" author set his 1st novel, ""Lie Down in Darkness"", in his native Virginia",William Styron
"ENDS WITH ""Z""",800,"German for ""replacement"", this word describes something artificial & usually inferior",ersatz
GENERALS,1000,"At the outbreak of WWII, General Joseph Stilwell became chief of staff to this generalissimo",Chiang Kai-shek
SONG STANDARDS,1000,"This 5-word phrase follows ""Let Me Call You Sweetheart""",I'm in love with you
LAKES & RIVERS,1000,This river in west central Africa is also called the Zaire River,the Congo
SWEETS,1000,"Baklava is made from many layers of this paper-thin pastry whose name is Greek for ""leaf""",phyllo
AMERICAN LITERATURE,1500,"Book one of this Willa Cather novel is entitled ""The Shimerdas""","""My Antonia"""
"ENDS WITH ""Z""",1000,"Court painter to King Philip IV, he was Spain's greatest Baroque artist",(Diego) Velazquez
AMERICAN HISTORY,100,"On October 20, 1803, the senate ratified the treaty for this land acquisition",Louisiana Purchase
POTENT POTABLES,100,The lager form of this is stored in casks or vats until free of sediment,beer
BROADWAY SONGS,100,"""In short, there's simply not, a more congenial spot for happily ever aftering than here in"" this place",Camelot
THE BODY HUMAN,100,"There are 9 cartilages in the larynx, & the largest of them forms this bulge",the Adam's apple
FOREIGN CURRENCY,100,"In Japan, paper currency in this unit is printed in denominations of 1,000, 5,000 & 10,000",the yen
NATIONAL STATUARY HALL,100,This cousin of John Adams represents Massachusetts in the collection,Samuel Adams
AMERICAN HISTORY,200,"Benedict Arnold & this man's Green Mountain Boys captured Ticonderoga, May 10, 1775",Ethan Allen
POTENT POTABLES,200,This is the most popular Collins drink,a Tom Collins
BROADWAY SONGS,200,"In a Jerry Herman song, this woman's name follows ""You charm the husk right off of the corn""",Mame
THE BODY HUMAN,200,The dilator muscle enlarges this part of the eye while the sphincter muscle makes it smaller,the pupil
FOREIGN CURRENCY,200,In 1986 this foreign country issued commemorative coins honoring the Statue of Liberty,France
NATIONAL STATUARY HALL,200,Jefferson Davis represents this state in the hall,Mississippi
AMERICAN HISTORY,300,In 1866 he became general of the U.S. Army; the first officer so designated,Ulysses S. Grant
POTENT POTABLES,300,"It's the liquor in a Moscow mule, a cocktail developed by Smirnoff in 1946",vodka
BROADWAY SONGS,300,"""Track Down This Murderer"" is sung near the end of this Andrew Lloyd Webber musical","""Phantom of the Opera"""
THE BODY HUMAN,300,"In a single red blood cell, there are more than 300 million molecules of this iron-rich pigment",hemoglobin
FOREIGN CURRENCY,300,"Prior to 1971, this monetary unit was divided into 20 schillings of 12 pence each",the pound
NATIONAL STATUARY HALL,300,This state is represented by a monarch,Hawaii
AMERICAN HISTORY,400,"The name of this anti-Jackson party was introduced to the senate by Henry Clay, April 14, 1834",Whigs
POTENT POTABLES,400,"For this cocktail, the rim of the glass is usually dipped in lime juice and salt",a margarita
BROADWAY SONGS,400,"In a song from ""Oklahoma"", this title line follows, ""Sweetheart, they're suspecting things""","""People will say we're in love"""
THE BODY HUMAN,400,"At the hip joint, this thighbone joins the pelvis",the femur
FOREIGN CURRENCY,400,"In this Asian country, a tugrik is equivalent to 100 mongos",Mongolia
NATIONAL STATUARY HALL,400,"This military officer & author of ""Ben-Hur"" represents Indiana",Lew Wallace
AMERICAN HISTORY,500,In 1843 Daniel Webster resigned as this president's Secretary of State,John Tyler
POTENT POTABLES,500,Jerez de la Frontera is the center of trade in this Spanish wine,Sherry
BROADWAY SONGS,1000,"The two men who wrote the Broadway song heard <a href=""http://www.j-archive.com/media/1995-11-23_J_25.mp3"">here</a>:  <i>""When you're a Jet, you're a Jet all the way / From your first cigarette to your last dyin' day / When you're a Jet if the spit hits the fan...""</i>",Stephen Sondheim & Leonard Bernstein
THE BODY HUMAN,500,"The pia mater is the innermost membrane that covers the brain, & this is the outermost layer",the dura mater
FOREIGN CURRENCY,500,It's the monetary unit of Suriname,the (Dutch) guilder
NATIONAL STATUARY HALL,500,This state is represented by a statue of Thomas Hart Benton,Missouri
ENGLISH LITERATURE,200,This Sir Arthur Conan Doyle tale about a ghostly canine was based on local legend,The Hound of the Baskervilles
PEOPLE,200,His record as the youngest international grand master in chess stood from 1958-1991,Bobby Fischer
GRAPHIC ARTS,200,Term for the circle that encloses a comic strip character's dialogue,a balloon
RULERS,200,"Many say this country's ruler, Tzu-Chi, gave a deathbed command to have her nephew, the emperor, killed",China
GOURMET CUISINE,200,"The word ""malossol"" on a caviar label means the roe is preserved with a minimum of this seasoning",salt
PHYSICS,200,This element has two crystalline allotropes: diamond & graphite,carbon
ENGLISH LITERATURE,400,"Some consider this author's ""The History of Henry Esmond"" his greatest work, not ""Vanity Fair""",William Makepeace Thackeray
PEOPLE,400,"In 1995, 8th grader Chris Galeczka won this contest by knowing that Afghanistan is where Pashtu & Dari are spoken",the National Geography Bee
GRAPHIC ARTS,400,Typesetters may use the Dvorak layout on one of these; it reduces their finger movements from Qwerty,a keyboard
RULERS,400,"This emperor for whom a wall is named built a spectacular villa at Tivoli, near Rome",Hadrian
GOURMET CUISINE,400,These chocolate confections are so-called because they resemble the fancy fungi of the same name,truffles
PHYSICS,400,"These charged, stable elementary particles are present in all atoms in shells around the nucleus",electrons
ENGLISH LITERATURE,600,"The title of his novel ""Far From the Madding Crowd"" is found in ""Elegy Written in a Country Churchyard""",Thomas Hardy
PEOPLE,600,"In 1995, for her groundbreaking study of African chimps, she was awarded the Hubbard Medal",Jane Goodall
GRAPHIC ARTS,600,This term refers to printing beyond the edges & trimming back the sheet; first aid isn't required,bleeding
RULERS,600,"This country's King Alphonso II was known as ""Alphonso El Gordo"", which means Alphonso the Fat",Portugal
GOURMET CUISINE,600,Ancient Romans cultivated these gastropods on farms; fattening them on meal & wine,snails
PHYSICS,600,It's a material such as germanium whose resistivity is midway between a conductor & an insulator,a semiconductor
ENGLISH LITERATURE,800,Philip Carey is the central character in this Somerset Maugham novel,Of Human Bondage
PEOPLE,800,"The daughter of a world champion steer roper, she was the Country Music Association's best Female Vocalist, 1984-1987",Reba McEntire
GRAPHIC ARTS,800,Term for non-copyrighted pictures or drawings you can snip out & include in your own work,clip art
RULERS,800,This founder of the Capetian Dynasty succeeded his father as duke of the Franks in 956,Hugh Capet
GOURMET CUISINE,800,"Eggs Meyerbeer, named in honor of the composer, is made with these organs the French call reins",kidneys
PHYSICS,800,"This force, supposed to act radially outward on a body moving in a curve, is a fictitious force",centrifugal force
ENGLISH LITERATURE,1000,This monumental work by Edward Gibbon covers 13 centuries until the capture of Constantinople,The Decline and Fall of the Roman Empire
PEOPLE,1000,In 1993 the Metropolitan Museum presented an exhibition of paintings by this grandson of Sigmund Freud,Lucien Freud
GRAPHIC ARTS,1000,"A color separator produces four negatives: cyan, magenta, yellow & this color",black
RULERS,1000,"As a child during World War II, this current Dutch queen lived in Canada",Beatrix
GOURMET CUISINE,1000,"Served with bearnaise sauce, this thick cut of beef is named for a French statesman, not a French castle",Chateaubriand
PHYSICS,500,It's the resistance of a fluid to a flow; syrup has a higher one than water,viscosity
THE U.S.,100,"Located in Kentucky, it's the site of the U.S. Gold Bullion Depository",Fort Knox
MOVIE DEBUTS,100,"He made his ""big"" screen debut in ""He Knows You're Alone"", which would probably scare Forrest Gump",Tom Hanks
INVENTORS,100,"His West Orange, New Jersey home was made a national historic site in 1955",Thomas Edison
WOMEN,100,"Her naked ride is probably legendary, but she did help found a monastery in Coventry",Lady Godiva
QUOTATIONS,100,"Word that ends Henny Youngman's line ""Take my wife....""",Please
COLLEGE POTPOURRI,100,"Many students live in this type of residence hall whose name is from the Latin for ""sleeping quarters""",Dormitory
THE U.S.,200,The only house Abraham Lincoln ever owned was in this capital city,"Springfield, IL"
MOVIE DEBUTS,200,"Born Alicia Foster, she made her movie debut as a child in the 1972 Disney film ""Napoleon and Samantha""",Jodie Foster
INVENTORS,200,In 1867 his perfected sewing machine won a gold medal at the Paris exhibition,Elias Howe
WOMEN,200,"This author wrote a biography of actor-manager Gerald Du Maurier, her father",Daphne Du Maurier
QUOTATIONS,200,"This humorist said, ""Politics has got so expensive that it takes lots of money to even get beat with""",Will Rogers
COLLEGE POTPOURRI,200,"Instead of semesters, some colleges divide the academic year into 3 terms called these",Trimesters
THE U.S.,300,"In area, Los Alamos is this state's smallest county",New Mexico
MOVIE DEBUTS,300,"The 1980 college comedy ""Midnight Madness"" marked the film debut of this ""Back to the Future"" star",Michael J. Fox
INVENTORS,300,In December 1855 this inventor of vulcanized rubber was jailed in Paris for debt,Charles Goodyear
WOMEN,300,She & her husband Julius were convicted of espionage on the testimony of her brother David Greenglass,Ethel Rosenberg
QUOTATIONS,300,"She wrote to F. Scott Fitzgerald, ""Don't you think I was made for you?""",Zelda
COLLEGE POTPOURRI,300,Prince Charles was the keynote speaker at this Virginia university's 300th anniv. celebration in 1993,William & Mary
THE U.S.,400,"While it's been called the ""Clam State"" & ""Mosquito State"", it's officially the ""Garden State""",New Jersey
MOVIE DEBUTS,400,"She won her first film role in 1970's ""Joe"", when she accompanied her then-husband Chris Sarandon to an audition",Susan Sarandon
INVENTORS,400,This air brake inventor also developed a complete railroad signal system,George Westinghouse
WOMEN,400,"On Dec. 2, 1994 this alleged ""Hollywood Madam"" was found guilty of pandering",Heidi Fleiss
QUOTATIONS,400,"Hemingway wrote, ""All modern American literature comes from one book by Mark Twain called"" this","""Huckleberry Finn"""
COLLEGE POTPOURRI,400,This west coast school boasts a column fragment from the area of the ancient city of Troy,USC (Southern California)
THE U.S.,500,In 1990 molten lava from this Hawaiian volcano was 50 feet deep in some places,Kilauea
MOVIE DEBUTS,500,"She played a nurse in the 1976 film ""A Matter of Time"", which starred her mother, Ingrid Bergman",Isabella Rossellini
INVENTORS,500,This developer of a steel-making process was knighted in 1879,Sir Henry Bessemer
WOMEN,500,"She married Adolf Hitler in a Berlin air raid shelter on April 29, 1945 & killed herself the next day",Eva Braun
QUOTATIONS,700,"This first lady wrote, ""It's misery when you become addicted""",Betty Ford
COLLEGE POTPOURRI,500,It's a campus building used for social activities; its name sounds like a labor organization,Student Union
1889,200,This structure erected for the Paris exposition of 1889 was the world's tallest for 40 years,Eiffel Tower
HIGHWAYS & BYWAYS,200,"When this D.C. street was permanently closed between 15th & 17th on May 20, 1995 it made headlines",Pennsylvania Avenue
FAMOUS MEXICANS,200,"This former Dodger pitcher was nicknamed ""El Toro""",Fernando Valenzuela
FLIGHTLESS BIRDS,200,Only 2 species of this bird live in the Antarctic through the year: the adelie & the emperor,Penguins
MUSEUMS,200,"A museum devoted to this ""Ol' Man River"" is located on Mud Island in Memphis",Mississippi River
AUTOBIOGRAPHIES,200,"In 1995 this former British prime minister published her 2nd volume of memoirs, ""The Path to Power""",Margaret Thatcher
1889,400,"He took his ""Greatest Show on Earth"" to London, where he himself was one of the greatest attractions",P.T. Barnum
FAMOUS MEXICANS,400,"This star of the film ""Zorba The Greek"" was born in Chihuahua, Mexico",Anthony Quinn
FLIGHTLESS BIRDS,400,At one time Australia offered a bounty for these large birds because they were destroying crops,Emus
MUSEUMS,400,"In addition to Rembrandt's ""The Night Watch"", this museum houses the Museum of Asiatic Art",Rijksmuseum
AUTOBIOGRAPHIES,400,"In ""Return to Earth"", this 2nd man to walk on the moon told of the pressures he faced on & off the job","Edwin ""Buzz"" Aldrin"
1889,600,"The Dominion Arboretum & Botanic Garden, Canada's oldest, was founded in this capital",Ottawa
HIGHWAYS & BYWAYS,600,"London street best known as the '60s home of the ""mod"" style",Carnaby Street
FAMOUS MEXICANS,600,"This ""Evil Ways"" rock group founder was born Autlan de Navarro in 1947",Carlos Santana
FLIGHTLESS BIRDS,600,"The solitaire, a more agile relative of this extinct bird of Mauritius, lasted another 100 years",Dodo
MUSEUMS,600,NYC's Cooper-Hewitt Museum has the world's largest collection of drawings by this Maine artist,Winslow Homer
AUTOBIOGRAPHIES,600,"In 1980 this former vice president published his autobiography, ""Go Quietly....Or Else""",Spiro Agnew
1889,800,"In June 1889 he executed the ""Starry Night"" painting",Vincent Van Gogh
HIGHWAYS & BYWAYS,800,In May 1995 San Francisco closed this crookedest street in the world to repair it,Lombard Street
FAMOUS MEXICANS,800,This guerrilla leader of the agrarian movement helped Madero overthrow Diaz in 1911,Emiliano Zapata
FLIGHTLESS BIRDS,800,"Although this New Zealand bird stands only about 12 inches high, it lays eggs about 5 inches long",Kiwi
MUSEUMS,800,"This Malibu, California museum is housed in a re-creation of the Villa Dei Papiri in Herculaneum","The Getty Museum"""
AUTOBIOGRAPHIES,2500,"Among this late entertainer's autobiographies are ""The Man in the Straw Hat"" & ""I Remember It Well""",Maurice Chevalier
1889,1000,On November 14 this reporter set off on her 72-day trip around the world,Nellie Bly
HIGHWAYS & BYWAYS,1000,Government ministry offices line this street that runs from Trafalgar Square to Parliament Square,Whitehall
FAMOUS MEXICANS,1000,"In January 1995 this president declared an ""economic emergency"" & enacted crisis measures",Ernesto Zedillo
FLIGHTLESS BIRDS,1000,"In central Argentina, gauchos with bolas hunt this large bird for sport",Rhea
MUSEUMS,1500,You'll find the International Museum of Photography in this New York city,Rochester
AUTOBIOGRAPHIES,1000,"Famous for her work with polio patients, this Australian nurse called her autobiography ""And They Shall Walk""",Sister Elizabeth Kenney
ASIA,100,"Go Ba Soup, a specialty of this country, makes a sizzling sound when poured over deep-fried rice patties",China
SPORTS,100,Since 1947 teams competing in this Pasadena bowl game have come from the Pac 10 & Big 10 conferences,Rose Bowl
CLOTHING,100,"Larry King is seldom seen without these, which the British call braces",Suspenders
MUSIC,100,A carol is a simple occasional song most often associated with this holiday,Christmas
DJIA STOCKS,100,It publishes Travel & Leisure Magazine as well as selling traveler's checks,American Express
"CROSSWORD CLUES ""A""",100,Clock warning         (5),Alarm
ASIA,200,The 2 houses of this large country's parliament are the Lok Sabha & the Rajya Sabha,India
SPORTS,200,"On Nov. 5, 1994 he became the oldest to win a heavyweight title -- or any boxing title -- at age 45",George Foreman
CLOTHING,200,The sandalfoot style of these does not have reinforcements at the toes & heels,Pantyhose
MUSIC,200,This form of light opera with spoken dialogue evolved from the opera comique & led to the musical,Operetta
DJIA STOCKS,200,Its roots go back to Bell Telephone in 1877,AT&T (American Telephone & Telegraph)
"CROSSWORD CLUES ""A""",200,River for tall women        (6),Amazon
ASIA,300,Most of this country's people live in hamlets called kampongs but about a million reside in Kuala Lumpur,Malaysia
SPORTS,300,"In 1993 this Philadelphia 76ers player nicknamed ""Dr. J"" was inducted into the Basketball Hall of Fame",Julius Erving
CLOTHING,300,Vienna-born designer Rudi Gernreich introduced this extremely revealing swimsuit in 1964,Monokini
MUSIC,300,This brass instrument may be fitted with valves either replacing the slide or in addition to it,Trombone
DJIA STOCKS,300,Foot Locker & Kinney Shoe Stores are owned by this five & dime company,Woolworth's
"CROSSWORD CLUES ""A""",300,Knightware        (5),Armor
ASIA,400,Sometimes this country is referred to as East Bengal,Bangladesh
SPORTS,400,"The 4 basic events in women's gymnastics are floor exercise, uneven parallel bars, vault & this event",Balance Beam
CLOTHING,400,Low necklines & high waists were features of the Empire Style popularized c. 1805 by this French empress,Josephine
MUSIC,400,"An instrumental piece usually for one musician, its name comes from Toccare, Italian for ""to touch""",Toccata
DJIA STOCKS,400,"May we be so ""Bold"" in this ""Era"" as to ""Cheer"" this ""Charmin"" company",Procter & Gamble
"CROSSWORD CLUES ""A""",400,It leaves when winter comes       (6),Autumn
ASIA,900,"Indonesians call this third-largest island in the world Kalimantan, or ""River of Diamonds""",Borneo
SPORTS,500,"On Sept. 5, 1993 Noureddine Morceli of Algeria set the world record in this event at 3:44.39",The Mile
CLOTHING,500,"The name of this hip-length Japanese-style lounging robe makes us feel ""glad""",Happi Coat
MUSIC,500,Malaguena is a sub-type of this Spanish or Andalusian song style,Flamenco
DJIA STOCKS,500,It's America's largest maker of commercial aircraft & that's the plane truth,Boeing
"CROSSWORD CLUES ""A""",500,Deer playmate       (8),Antelope
NATURALISTS,200,"While living by Walden Pond in 1846, he was arrested for refusing to pay his poll tax",Henry David Thoreau
GOVERNMENT & POLITICS,200,You can find the Bill of Rights on display in this D.C. building's Exhibition Hall,The National Archives
MOUNTAINS,200,Legend says this Japanese mountain was created during an earthquake in 286 B.C.,Mt. Fuji
ART,200,These colored chalklike sticks are made with a pigment & a weak adhesive such as gum tragacanth,Pastels
17TH CENTURY AMERICA,200,"On Nov. 21, 1620, after a 66-day voyage, this ship reached Cape Cod",The Mayflower
LITERATURE,200,"In addition to Buck & White Fang, this author wrote about Jerry, an Irish terrier pup",Jack London
NATURALISTS,400,"He & William MacGillivray wrote ""The Ornithological Biography"" to go with his ""Birds of America""",John James Audubon
GOVERNMENT & POLITICS,400,He's the only U.S. president to have served as director of the CIA,George (H.W.) Bush
MOUNTAINS,400,This highest Greek mountain wasn't scaled until 1913,Mt. Olympus
ART,400,In 1546 Pope Paul III appointed this artist architect of St. Peter's Basilica,Michelangelo
17TH CENTURY AMERICA,400,In 1607 Edward M. Wingfield was ousted as president of the Virginia colony at this site,Jamestown
LITERATURE,400,"Early collections of his stories include ""Flappers And Philosophers"" & ""Tales Of The Jazz Age""",F. Scott Fitzgerald
NATURALISTS,600,"Studying these in the Swiss Alps, Louis Agassiz postulated the Earth was once covered by them",Glaciers
GOVERNMENT & POLITICS,600,"National grasslands are administered by the Forest Service, an agency of this cabinet department",Agriculture
MOUNTAINS,600,"Encyclopedia Americana calls it the ""most photographed peak in Europe""",The Matterhorn
ART,600,The final layer of plaster prepared for this type of wall painting is called intonaco,Fresco
17TH CENTURY AMERICA,600,"George Fox, leader of this British religious group, toured the American colonies in 1672",The Quakers
LITERATURE,600,"In ""David Copperfield"", Wilkins is the first name of this kindhearted optimist",Mr. Micawber
NATURALISTS,800,He was only 22 when he boarded the Beagle in 1831,Charles Darwin
GOVERNMENT & POLITICS,2500,Montana's Marc Racicot & this state's Jim Guy Tucker are the USA's lowest-paid governors,Arkansas
MOUNTAINS,800,In 1949 a U.S. expedition spent 12 futile days searching for Noah's Ark on this mountain,Mt. Ararat
ART,800,In 1930 Grant Wood's reputation was established by a Chicago showing of this painting,"""American Gothic"""
17TH CENTURY AMERICA,800,In 1631 this governor of New Netherland was removed due to liberal policies toward wealthy landowners,Peter Minuit
LITERATURE,800,This B. Traven novel about 3 Americans looking for gold in Mexico was first published in Germany,"""The Treasure of the Sierra Madre"""
NATURALISTS,500,"While in Holland in 1735, this Swede published his ""Systema Naturae"", a taxonomy system",Carolus Linnaeus
GOVERNMENT & POLITICS,1000,This Ohio Republican won election to the U.S. Senate in 1938 & served until his death in 1953,Robert Taft
MOUNTAINS,1000,The Karakoram Mountains include this famous peak also known as Mount Godwin Austen,K2
ART,1000,She was commissioned to paint a mural for the woman's building at the 1893 Columbian Exposition,Mary Cassatt
17TH CENTURY AMERICA,1000,"On April 9, 1682 this Frenchman reached the mouth of the Mississippi & claimed the valley for France",LaSalle
LITERATURE,1000,"""To Let"" was the last novel in this John Galsworthy series","""The Forsyte Saga"""
FAMOUS TEXANS,100,"He was born near Stonewall, Texas in 1908; his wife Lady Bird was born in Karnack",Lyndon Baines Johnson
THE EMMYS,100,In 1991 Kirstie Alley won an Emmy for playing Rebecca Howe on this sitcom,Cheers
TRANSPORTATION,100,The wheels of these ancient Egyptian vehicles usually had 6 spokes,chariots
BENJAMIN FRANKLIN,100,"Ben organized Philadelphia's first company to fight these, much needed where all buildings were wood",fires
MONEY,100,This German unit of currency is abbreviated DM,a Deutsche Mark
"""L""s ON THE MAP",100,World Book says this British city may have been named for the mythical Liver bird,Liverpool
FAMOUS TEXANS,200,"This San Antonio resident helps out America's homemakers with lots of ""Hints""",Heloise
THE EMMYS,200,It holds the record for most Emmys by a miniseries with 9,Roots
TRANSPORTATION,200,"Fire departments have 3 main types of truck: pumper, rescue & this kind",ladder
BENJAMIN FRANKLIN,200,In 1731 Ben joined this fraternal organization becoming Grand Master of the Grand Penn. Lodge in 1749,the Masons
MONEY,200,The first of these U.S. coins were struck in 1964,Kennedy half-dollars
"""L""s ON THE MAP",200,"There's a monument to the great racehorse Man O' War in this city, Kentucky's second largest",Lexington
FAMOUS TEXANS,300,"A native of Texas, this author has set many of his novels there, including ""Lonesome Dove""",Larry McMurtry
THE EMMYS,300,"In 1977 it was said that she ""won by a bionic vote"" as best actress in a drama series",Lindsay Wagner
TRANSPORTATION,300,"Marked out in 1775, it was Kentucky's first road",the Wilderness Road
BENJAMIN FRANKLIN,300,Ben's last public act was to sign a petition to Congress urging the abolition of this,slavery
MONEY,300,"Of ding, dong or cong, the basic monetary unit of Vietnam",a dong
"""L""s ON THE MAP",300,"Europeans were once banned from this Tibetan capital, which was known as ""the Forbidden City""",Lhasa
FAMOUS TEXANS,400,"A Texas county is named for this ""father of condensed milk"" who was one of the state's pioneer settlers",(Gail) Borden
THE EMMYS,400,Peter Falk has won 4 Emmys for playing this role,Columbo
TRANSPORTATION,400,"New Mexico's first railroad, it began operation in the state in 1878","the (Atchison, Topeka and) Santa Fe Railway"
BENJAMIN FRANKLIN,400,Franklin lived abroad for 27 of his 84 years: 18 in Britain & 9 in this country,France
MONEY,400,"The dirham, the main currency of the United Arab Emirates, derives its name from this Greek coin",a drachma
"""L""s ON THE MAP",400,This city is the home of Bolivian Catholic University,La Paz
FAMOUS TEXANS,500,"The family home of this longtime Speaker of the House is now a museum in Bonham, Texas",Sam Rayburn
THE EMMYS,500,"In 1973 this director & choreographer won a Tony for ""Pippin"" & an Emmy for ""Liza with a 'Z'""",Bob Fosse
TRANSPORTATION,500,"The Oregon, California & Mormon trails followed this east-west River in Nebraska",the Platte
BENJAMIN FRANKLIN,500,"Franklin's son William, governor of this colony, was a staunch Tory",New Jersey
MONEY,500,In 1973 this country introduced coinage of the new Queen Margrethe II,Denmark
"""L""s ON THE MAP",500,"Napoleon lost the 1813 Battle of this German city, which is also called the Battle of the Nations",Leipzig
HISTORY,200,In 1856 France joined Britain in a second Opium War with this country,China
ARCHITECTURE,200,Henry Hobson Richardson designed this Massachusetts city's Trinity Church in the Romanesque style,Boston
COMPOSERS,200,"This ""Messiah"" composer said Christoph Gluck ""knows no more counterpoint than my cook""",Handel
PLACE NAME ORIGINS,200,"The name of this former capital of West Germany is a Celtic word for ""town""",Bonn
TREES,200,The pulp of the pods of this Eastern Mediterranean tree is used as a chocolate substitute,carob
WOMEN AUTHORS,200,"Anne Edwards' biography of this author is titled ""Road to Tara""",Margaret Mitchell
HISTORY,400,"It was seized by Iranian militants on November 4, 1979 & held for over 400 days",the American embassy
ARCHITECTURE,400,Finlandia Hall in this capital city was one of Finnish architect Alvar Aalto's last creations,Helsinki
COMPOSERS,400,"The first English composer elevated to the peerage, his title was Baron Britten of Aldeburgh",Benjamin Britten
PLACE NAME ORIGINS,400,"The names Donegal & Dundee refer to these structures, one ""on the Dee"", one ""of the foreigners""",forts
TREES,400,Rosin & turpentine are obtained from the resin of the slash & longleaf varieties of this tree,pine
WOMEN AUTHORS,400,Beginning in 1978 Joyce Carol Oates was a writer in residence at this New Jersey university,Princeton
HISTORY,600,"Between 1868 and 1894, Benjamin Disraeli was Prime Minister of England twice & this man was P.M. 4 times",Gladstone
ARCHITECTURE,600,"Domino's Pizza founder Tom Monaghan once owned a museum devoted to this ""Prairie Style"" architect",Frank Lloyd Wright
COMPOSERS,600,"The plot of this ""New World Symphony"" composer's opera ""Dimitrij"" begins where ""Boris Godunov"" ends",Dvorák
PLACE NAME ORIGINS,2000,"The name of this large Russian lake is from Altaic for ""rich take"", referring to its rich take of fish",Lake Baikal
TREES,600,The Japanese varieties of this fruit tree are grown solely for their ornamental value,the cherry
WOMEN AUTHORS,600,"In the mid-1960s this co-founder of Ms. magazine wrote for the TV series ""That Was the Week that Was""",Gloria Steinem
HISTORY,800,"The ""Golden Age"" of this Indian empire occurred during the reign of Shah Jahan, who built the Taj Mahal",the Mughals
ARCHITECTURE,800,The Cathedral of Notre Dame at Reims is a masterpiece of this architectural style,Gothic
